Time,Play,Indiana,Iowa
19:35,Jalen Hood-Schifino missed Jumper.,50,40
19:31,Kris Murray Defensive Rebound.,50,40
19:08,Filip Rebraca missed Jumper.,50,40
19:03,Jordan Geronimo Defensive Rebound.,50,40
18:53,Jordan Geronimo made Jumper.,52,40
18:33,Kris Murray made Layup.,52,42
18:21,Tamar Bates Turnover.,52,42
18:21,Kris Murray Steal.,52,42
18:16,Connor McCaffery missed Three Point Jumper.,52,42
18:12,Jordan Geronimo Defensive Rebound.,52,42
18:04,Trayce Jackson-Davis missed Layup.,52,42
18:01,Tony Perkins Defensive Rebound.,52,42
17:58,Kris Murray missed Three Point Jumper.,52,42
17:54,Miller Kopp Defensive Rebound.,52,42
17:42,Tamar Bates made Three Point Jumper. Assisted by Jordan Geronimo.,55,42
17:29,Kris Murray made Dunk. Assisted by Payton Sandfort.,55,44
17:07,Tamar Bates missed Jumper.,55,44
17:03,Iowa Defensive Rebound.,55,44
16:52,Payton Sandfort missed Jumper.,55,44
16:46,Filip Rebraca Offensive Rebound.,55,44
16:46,Filip Rebraca made Layup.,55,46
16:25,Foul on Kris Murray.,55,46
16:10,Foul on Kris Murray.,55,46
16:10,Trayce Jackson-Davis made Free Throw.,56,46
16:10,Trayce Jackson-Davis made Free Throw.,57,46
16:01,Kris Murray made Three Point Jumper. Assisted by Tony Perkins.,57,49
15:45,Jalen Hood-Schifino missed Layup.,57,49
15:42,Kris Murray Defensive Rebound.,57,49
15:40,Connor McCaffery missed Three Point Jumper.,57,49
15:36,Jalen Hood-Schifino Defensive Rebound.,57,49
15:32,Trayce Jackson-Davis Turnover.,57,49
15:32,Official TV Timeout,57,49
14:51,Tamar Bates missed Three Point Jumper.,57,51
14:48,Connor McCaffery Defensive Rebound.,57,51
14:41,Tony Perkins Turnover.,57,51
14:41,Jordan Geronimo Steal.,57,51
14:35,Miller Kopp missed Three Point Jumper.,57,51
14:30,Filip Rebraca Defensive Rebound.,57,51
14:20,Kris Murray missed Layup.,57,51
14:20,Miller Kopp Block.,57,51
14:12,Kris Murray Offensive Rebound.,57,51
14:12,Kris Murray made Layup.,57,53
13:59,Miller Kopp Turnover.,57,53
13:59,Indiana Timeout,57,53
13:35,Connor McCaffery made Three Point Jumper.,57,56
13:01,Trayce Jackson-Davis made Jumper. Assisted by Jalen Hood-Schifino.,59,56
12:40,Foul on Trey Galloway.,59,56
12:40,Connor McCaffery made Free Throw.,59,57
